ano,pop_rua
2012-01-01 00:00:00,12775
2013-01-01 00:00:00,22922
2014-01-01 00:00:00,37419
2015-01-01 00:00:00,52440
2016-01-01 00:00:00,73874
2017-01-01 00:00:00,101302
2018-01-01 00:00:00,138332
2019-01-01 00:00:00,174766
2020-01-01 00:00:00,194824
2021-01-01 00:00:00,158057
