uf,%pop_rua
RR,"0,309%"
DF,"0,181%"
SP,"0,140%"
MG,"0,090%"
RJ,"0,082%"
PR,"0,076%"
SC,"0,073%"
CE,"0,068%"
RS,"0,065%"
ES,"0,064%"
MT,"0,063%"
BA,"0,045%"
RN,"0,038%"
SE,"0,037%"
MS,"0,037%"
GO,"0,035%"
PE,"0,029%"
AL,"0,029%"
AM,"0,023%"
PI,"0,021%"
AC,"0,019%"
MA,"0,018%"
PA,"0,016%"
RO,"0,015%"
PB,"0,013%"
TO,"0,012%"
AP,"0,007%"
