uf,%var_pop_rua
RR,87%
BA,86%
AM,77%
RO,66%
DF,59%
RJ,47%
PE,40%
PI,37%
CE,36%
TO,32%
SC,30%
MA,27%
PA,25%
AP,23%
ES,17%
PB,16%
GO,15%
PR,13%
MG,9%
SE,8%
RN,7%
MS,3%
MT,3%
SP,2%
RS,0%
AC,-13%
AL,-23%
