uf,pop_rua
SP,64570
MG,18700
RJ,13563
PR,9014
RS,7248
BA,6626
CE,6114
SC,5678
DF,5281
PE,2624
ES,2531
GO,2401
MT,2381
RR,1959
PA,1317
RN,1268
MA,1245
MS,1042
AM,918
AL,897
SE,815
PI,696
PB,516
RO,249
TO,192
AC,159
AP,53
