ano,%var_pop_rua
2013-01-01 00:00:00,"79,43%"
2014-01-01 00:00:00,"63,24%"
2015-01-01 00:00:00,"40,14%"
2016-01-01 00:00:00,"40,87%"
2017-01-01 00:00:00,"37,13%"
2018-01-01 00:00:00,"36,55%"
2019-01-01 00:00:00,"26,34%"
2020-01-01 00:00:00,"11,48%"
2021-01-01 00:00:00,"-18,87%"
