ano,%var_pop_rua,%var_tx_desemprego
2013-01-01 00:00:00,"79,43%","-1,08%"
2014-01-01 00:00:00,"63,24%","-5,82%"
2015-01-01 00:00:00,"40,14%","22,55%"
2016-01-01 00:00:00,"40,87%","35,11%"
2017-01-01 00:00:00,"37,13%","13,10%"
2018-01-01 00:00:00,"36,55%","-3,82%"
2019-01-01 00:00:00,"26,34%","-2,62%"
2020-01-01 00:00:00,"11,48%","11,96%"
2021-01-01 00:00:00,"-18,87%","-0,06%"
