ano,pop_rua,tx_desemprego
2012,12775,7.380000000000001
2013,22922,7.3
2014,37419,6.874999999999999
2015,52440,8.424999999999999
2016,73874,11.383333333333335
2017,101302,12.875
2018,138332,12.383333333333333
2019,174766,12.058333333333332
2020,194824,13.5
2021,158057,13.491666666666665
