id_municipio;municipio
353;Arraial
354;Arraial do Cabo
355;Arraias
356;Arroio Dos Ratos
357;Arroio Grande
358;Arroio Trinta
359;Arroio do Meio
360;Arroio do Padre
361;Arroio do Sal
362;Arroio do Tigre
363;Artur Nogueira
364;Aruanã
365;Arujá
366;Arvoredo
367;Arvorezinha
368;Arês
369;Ascurra
370;Aspásia
371;Assaré
372;Assaí
373;Assis
374;Assis Brasil
375;Assis Chateaubriand
376;Assunção
377;Assunção do Piauí
378;Astolfo Dutra
379;Astorga
380;Atalaia
381;Atalaia
382;Atalaia do Norte
383;Atalanta
384;Ataléia
385;Atibaia
386;Atilio Vivacqua
387;Augustinópolis
388;Augusto Corrêa
389;Augusto Pestana
390;Augusto Severo
391;Augusto de Lima
392;Aurelino Leal
393;Auriflama
394;Aurilândia
395;Aurora
396;Aurora
397;Aurora do Pará
398;Aurora do Tocantins
399;Autazes
400;Avanhandava
401;Avaré
402;Avaí
403;Aveiro
404;Avelino Lopes
405;Avelinópolis
406;Axixá
407;Axixá do Tocantins
408;Açailândia
409;Açu
410;Açucena
411;Babaçulândia
412;Bacabal
413;Bacabeira
414;Bacuri
415;Bacurituba
416;Bady Bassitt
417;Baependi
418;Bagre
419;Bagé
420;Baianópolis
421;Baixa Grande
422;Baixa Grande do Ribeiro
423;Baixio
424;Baixo Guandu
425;Baião
426;Balbinos
427;Baldim
428;Baliza
429;Balneário Arroio do Silva
430;Balneário Barra do Sul
431;Balneário Camboriú
432;Balneário Gaivota
433;Balneário Pinhal
434;Balneário Rincão
435;Balsa Nova
436;Balsas
437;Bambuí
438;Banabuiú
439;Bananal
440;Bananeiras
441;Bandeira
442;Bandeira do Sul
443;Bandeirante
444;Bandeirantes
445;Bandeirantes
446;Bandeirantes do Tocantins
447;Bannach
448;Banzaê
449;Baraúna
450;Baraúna
451;Barbacena
452;Barbalha
453;Barbosa
454;Barbosa Ferraz
455;Barcarena
456;Barcelona
457;Barcelos
458;Bariri
459;Barra
460;Barra Bonita
461;Barra Bonita
462;Barra Dos Coqueiros
463;Barra D´alcântara
464;Barra Funda
465;Barra Longa
466;Barra Mansa
467;Barra Velha
468;Barra da Estiva
469;Barra de Guabiraba
470;Barra de Santa Rosa
471;Barra de Santana
472;Barra de Santo Antônio
473;Barra de São Francisco
474;Barra de São Miguel
475;Barra de São Miguel
476;Barra do Bugres
477;Barra do Chapéu
478;Barra do Choça
479;Barra do Corda
480;Barra do Garças
481;Barra do Guarita
482;Barra do Jacaré
483;Barra do Mendes
484;Barra do Ouro
485;Barra do Piraí
486;Barra do Quaraí
487;Barra do Ribeiro
488;Barra do Rio Azul
489;Barra do Rocha
490;Barra do Turvo
491;Barracão
492;Barracão
493;Barras
494;Barreira
495;Barreiras
496;Barreiras do Piauí
497;Barreirinha
498;Barreirinhas
499;Barreiros
500;Barretos
501;Barrinha
502;Barro
503;Barro Alto
504;Barro Alto
505;Barro Duro
506;Barrocas
507;Barrolândia
508;Barroquinha
509;Barros Cassal
510;Barroso
511;Barueri
512;Barão
513;Barão de Antonina
514;Barão de Cocais
515;Barão de Cotegipe
516;Barão de Grajaú
517;Barão de Melgaço
518;Barão de Monte Alto
519;Barão do Triunfo
520;Bastos
521;Bataguassu
522;Batalha
523;Batalha
524;Batatais
525;Batayporã
526;Baturité
527;Bauru
528;Bayeux
529;Baía Formosa
530;Baía da Traição
531;Bebedouro
532;Beberibe
533;Bela Cruz
534;Bela Vista
535;Bela Vista da Caroba
536;Bela Vista de Goiás
537;Bela Vista de Minas
538;Bela Vista do Maranhão
539;Bela Vista do Paraíso
540;Bela Vista do Piauí
541;Bela Vista do Toldo
542;Belford Roxo
543;Belmiro Braga
544;Belmonte
545;Belmonte
546;Belo Campo
547;Belo Horizonte
548;Belo Jardim
549;Belo Monte
550;Belo Oriente
551;Belo Vale
552;Belterra
553;Belágua
554;Belém
555;Belém
556;Belém
557;Belém de Maria
558;Belém de São Francisco
559;Belém do Brejo do Cruz
560;Belém do Piauí
561;Beneditinos
562;Benedito Leite
563;Benedito Novo
564;Benevides
565;Benjamin Constant
566;Benjamin Constant do Sul
567;Bento Fernandes
568;Bento Gonçalves
569;Bento de Abreu
570;Bequimão
571;Berilo
572;Berizal
573;Bernardino Batista
574;Bernardino de Campos
575;Bernardo Sayão
576;Bernardo do Mearim
577;Bertioga
578;Bertolínia
579;Bertópolis
580;Beruri
581;Betim
582;Betânia
583;Betânia do Piauí
584;Bezerros
585;Bias Fortes
586;Bicas
587;Biguaçu
588;Bilac
589;Biquinhas
590;Birigui
591;Biritiba-mirim
592;Biritinga
593;Bituruna
594;Blumenau
595;Boa Esperança
596;Boa Esperança
597;Boa Esperança
598;Boa Esperança do Iguaçu
599;Boa Esperança do Sul
600;Boa Hora
601;Boa Nova
602;Boa Ventura
603;Boa Ventura de São Roque
604;Boa Viagem
605;Boa Vista
606;Boa Vista
607;Boa Vista Das Missões
608;Boa Vista da Aparecida
609;Boa Vista do Buricá
610;Boa Vista do Cadeado
611;Boa Vista do Gurupi
612;Boa Vista do Incra
613;Boa Vista do Ramos
614;Boa Vista do Sul
615;Boa Vista do Tupim
616;Boca da Mata
617;Boca do Acre
618;Bocaina
619;Bocaina
620;Bocaina de Minas
621;Bocaina do Sul
622;Bocaiúva
623;Bocaiúva do Sul
624;Bodocó
625;Bodoquena
626;Bodó
627;Bofete
628;Boituva
629;Bom Conselho
630;Bom Despacho
631;Bom Jardim
632;Bom Jardim
633;Bom Jardim
634;Bom Jardim da Serra
635;Bom Jardim de Goiás
636;Bom Jardim de Minas
637;Bom Jesus
638;Bom Jesus
639;Bom Jesus
640;Bom Jesus
641;Bom Jesus
642;Bom Jesus Das Selvas
643;Bom Jesus Dos Perdões
644;Bom Jesus da Lapa
645;Bom Jesus da Penha
646;Bom Jesus da Serra
647;Bom Jesus de Goiás
648;Bom Jesus do Amparo
649;Bom Jesus do Araguaia
650;Bom Jesus do Galho
651;Bom Jesus do Itabapoana
652;Bom Jesus do Norte
653;Bom Jesus do Oeste
654;Bom Jesus do Sul
655;Bom Jesus do Tocantins
656;Bom Jesus do Tocantins
657;Bom Lugar
658;Bom Princípio
659;Bom Princípio do Piauí
660;Bom Progresso
661;Bom Repouso
662;Bom Retiro
663;Bom Retiro do Sul
664;Bom Sucesso
665;Bom Sucesso
666;Bom Sucesso
667;Bom Sucesso de Itararé
668;Bom Sucesso do Sul
669;Bombinhas
670;Bonfim
671;Bonfim
672;Bonfim do Piauí
673;Bonfinópolis
674;Bonfinópolis de Minas
675;Boninal
676;Bonito
677;Bonito
678;Bonito
679;Bonito
680;Bonito de Minas
681;Bonito de Santa fé
682;Bonópolis
683;Boqueirão
684;Boqueirão do Leão
685;Boqueirão do Piauí
686;Boquim
687;Boquira
688;Boracéia
689;Borba
690;Borborema
691;Borborema
692;Borda da Mata
693;Borebi
694;Borrazópolis
695;Borá
696;Bossoroca
697;Botelhos
698;Botucatu
699;Botumirim
700;Botuporã
701;Botuverá
702;Bozano
703;Braga
704;Braganey
705;Bragança
706;Bragança Paulista
707;Branquinha
708;Brasil Novo
709;Brasileira
710;Brasilândia
711;Brasilândia de Minas
712;Brasilândia do Sul
713;Brasilândia do Tocantins
714;Brasiléia
715;Brasnorte
716;Brasília
717;Brasília de Minas
718;Brasópolis
719;Brazabrantes
720;Braço do Norte
721;Braço do Trombudo
722;Braúna
723;Braúnas
724;Brejetuba
725;Brejinho
726;Brejinho
727;Brejinho de Nazaré
728;Brejo
729;Brejo Alegre
730;Brejo Dos Santos
731;Brejo Grande
732;Brejo Grande do Araguaia
733;Brejo Santo
734;Brejo da Madre de Deus
735;Brejo de Areia
736;Brejo do Cruz
737;Brejo do Piauí
738;Brejolândia
739;Brejão
740;Brejões
741;Breu Branco
742;Breves
743;Britânia
744;Brochier
745;Brodowski
746;Brotas
747;Brotas de Macaúbas
748;Brumadinho
749;Brumado
750;Brunópolis
751;Brusque
752;Brás Pires
753;Bueno Brandão
754;Buenos Aires
755;Buenópolis
756;Buerarema
757;Bugre
758;Bujari
759;Bujaru
760;Buri
761;Buritama
762;Buriti
763;Buriti Alegre
764;Buriti Bravo
765;Buriti Dos Lopes
766;Buriti Dos Montes
767;Buriti de Goiás
768;Buriti do Tocantins
769;Buriticupu
770;Buritinópolis
771;Buritirama
772;Buritirana
773;Buritis
774;Buritis
775;Buritizal
776;Buritizeiro
777;Butiá
778;Buíque
779;Bálsamo
780;Caapiranga
781;Caaporã
782;Caarapó
783;Caatiba
784;Cabaceiras
785;Cabaceiras do Paraguaçu
786;Cabeceira Grande
787;Cabeceiras
788;Cabeceiras do Piauí
789;Cabedelo
790;Cabixi
791;Cabo Frio
792;Cabo Verde
793;Cabo de Santo Agostinho
794;Cabreúva
795;Cabrobó
796;Cabrália Paulista
797;Cacaulândia
798;Cacequi
799;Cachoeira
800;Cachoeira Alta
801;Cachoeira Dos Índios
802;Cachoeira Dourada
803;Cachoeira Dourada
804;Cachoeira Grande
805;Cachoeira Paulista
806;Cachoeira da Prata
807;Cachoeira de Goiás
808;Cachoeira de Minas
809;Cachoeira de Pajeú
810;Cachoeira do Arari
811;Cachoeira do Piriá
812;Cachoeira do Sul
813;Cachoeiras de Macacu
814;Cachoeirinha
815;Cachoeirinha
816;Cachoeirinha
817;Cachoeiro de Itapemirim
818;Cacimba de Areia
819;Cacimba de Dentro
820;Cacimbas
821;Cacimbinhas
822;Cacique Doble
823;Cacoal
824;Caconde
825;Caculé
826;Caetanos
827;Caetanópolis
828;Caetité
829;Caeté
830;Caetés
831;Cafarnaum
832;Cafeara
833;Cafelândia
834;Cafelândia
835;Cafezal do Sul
836;Caiabu
837;Caiana
838;Caiapônia
839;Caibaté
840;Caibi
841;Caicó
842;Caieiras
843;Cairu
844;Caiuá
845;Caiçara
846;Caiçara
847;Caiçara do Norte
848;Caiçara do Rio do Vento
849;Cajamar
850;Cajapió
851;Cajari
852;Cajati
853;Cajazeiras
854;Cajazeiras do Piauí
855;Cajazeirinhas
856;Cajobi
857;Cajueiro
858;Cajueiro da Praia
859;Cajuri
860;Cajuru
861;Caldas
862;Caldas Brandão
863;Caldas Novas
864;Caldazinha
865;Caldeirão Grande
866;Caldeirão Grande do Piauí
867;Califórnia
868;Calmon
869;Calumbi
870;Calçado
871;Calçoene
872;Camacan
873;Camacho
874;Camalaú
875;Camamu
876;Camanducaia
877;Camapuã
878;Camaquã
879;Camaragibe
880;Camargo
881;Camaçari
882;Cambará
883;Cambará do Sul
884;Cambira
885;Camboriú
886;Cambuci
887;Cambuquira
888;Cambuí
889;Cambé
890;Cametá
891;Camocim
892;Camocim de São Félix
893;Campanha
894;Campanário
895;Campestre
896;Campestre
897;Campestre da Serra
898;Campestre de Goiás
899;Campestre do Maranhão
900;Campina Das Missões
901;Campina Grande
902;Campina Grande do Sul
903;Campina Verde
904;Campina da Lagoa
905;Campina do Monte Alegre
906;Campina do Simão
907;Campinas
908;Campinas do Piauí
909;Campinas do Sul
910;Campinaçu
911;Campinorte
912;Campinápolis
913;Campo Alegre
914;Campo Alegre
915;Campo Alegre de Goiás
916;Campo Alegre de Lourdes
917;Campo Alegre do Fidalgo
918;Campo Azul
919;Campo Belo
920;Campo Belo do Sul
921;Campo Bom
922;Campo Bonito
923;Campo Erê
924;Campo Florido
925;Campo Formoso
926;Campo Grande
927;Campo Grande
928;Campo Grande do Piauí
929;Campo Largo
930;Campo Largo do Piauí
931;Campo Limpo Paulista
932;Campo Limpo de Goiás
933;Campo Magro
934;Campo Maior
935;Campo Mourão
936;Campo Novo
937;Campo Novo de Rondônia
938;Campo Novo do Parecis
939;Campo Redondo
940;Campo Verde
941;Campo de Santana
942;Campo do Brito
943;Campo do Meio
944;Campo do Tenente
945;Campos Altos
946;Campos Belos
947;Campos Borges
948;Campos Dos Goytacazes
949;Campos Gerais
950;Campos Lindos
951;Campos Novos
952;Campos Novos Paulista
953;Campos Sales
954;Campos Verdes
955;Campos de Júlio
956;Campos do Jordão
957;Camutanga
958;Cana Verde
959;Canabrava do Norte
960;Cananéia
961;Canapi
962;Canarana
963;Canarana
964;Canas
965;Canavieira
966;Canavieiras
967;Canaã
968;Canaã Dos Carajás
969;Candeal
970;Candeias
971;Candeias
972;Candeias do Jamari
973;Candelária
974;Candiba
975;Candiota
976;Candói
977;Canela
978;Canelinha
979;Canguaretama
980;Canguçu
981;Canhoba
982;Canhotinho
983;Canindé
984;Canindé de São Francisco
985;Canitar
986;Canoas
987;Canoinhas
988;Cansanção
989;Cantagalo
990;Cantagalo
991;Cantagalo
992;Cantanhede
993;Canto do Buriti
994;Cantá
995;Canudos
996;Canudos do Vale
997;Canutama
998;Canápolis
999;Canápolis
1000;Capanema
1001;Capanema
1002;Caparaó
1003;Capela
1004;Capela
1005;Capela Nova
1006;Capela de Santana
1007;Capela do Alto
1008;Capela do Alto Alegre
1009;Capelinha
1010;Capetinga
1011;Capim
1012;Capim Branco
1013;Capim Grosso
1014;Capinzal
1015;Capinzal do Norte
1016;Capinópolis
1017;Capistrano
1018;Capitão
1019;Capitão Andrade
1020;Capitão Enéas
1021;Capitão Gervásio Oliveira
1022;Capitão Leônidas Marques
1023;Capitão Poço
1024;Capitão de Campos
1025;Capitólio
1026;Capivari
1027;Capivari de Baixo
1028;Capivari do Sul
1029;Capixaba
1030;Capoeiras
1031;Caputira
1032;Capão Alto
1033;Capão Bonito
1034;Capão Bonito do Sul
1035;Capão da Canoa
1036;Capão do Cipó
1037;Capão do Leão
1038;Caracaraí
1039;Caracol
1040;Caracol
1041;Caraguatatuba
1042;Carambeí
1043;Caranaíba
1044;Carandaí
1045;Carangola
1046;Carapebus
1047;Carapicuíba
1048;Caratinga
1049;Carauari
1050;Caravelas
1051;Carazinho
1052;Caraá
1053;Caraí
1054;Caraíbas
1055;Caraúbas
1056;Caraúbas
1057;Caraúbas do Piauí
1058;Carbonita
1059;Cardeal da Silva
1060;Cardoso
1061;Cardoso Moreira
1062;Careaçu
1063;Careiro
1064;Careiro da Várzea
1065;Cariacica
1066;Caridade
1067;Caridade do Piauí
1068;Carinhanha
1069;Carira
1070;Cariri do Tocantins
1071;Caririaçu
1072;Cariré
1073;Cariús
1074;Carlinda
1075;Carlos Barbosa
1076;Carlos Chagas
1077;Carlos Gomes
1078;Carlópolis
1079;Carmo
1080;Carmo da Cachoeira
1081;Carmo da Mata
1082;Carmo de Minas
1083;Carmo do Cajuru
1084;Carmo do Paranaíba
1085;Carmo do Rio Claro
1086;Carmo do Rio Verde
1087;Carmolândia
1088;Carmésia
1089;Carmópolis
1090;Carmópolis de Minas
1091;Carnaubais
1092;Carnaubal
1093;Carnaubeira da Penha
1094;Carnaíba
1095;Carnaúba Dos Dantas
1096;Carneirinho
1097;Carneiros
1098;Caroebe
1099;Carolina
1100;Carpina
1101;Carrancas
1102;Carrapateira
1103;Carrasco Bonito
1104;Caruaru
1105;Carutapera
1106;Carvalhos
1107;Carvalhópolis
1108;Casa Branca
1109;Casa Grande
1110;Casa Nova
1111;Casca
1112;Cascalho Rico
1113;Cascavel
1114;Cascavel
1115;Caseara
1116;Caseiros
1117;Casimiro de Abreu
1118;Casinhas
1119;Casserengue
1120;Cassilândia
1121;Castanhal
1122;Castanheira
1123;Castanheiras
1124;Castelo
1125;Castelo do Piauí
1126;Castelândia
1127;Castilho
1128;Castro
1129;Castro Alves
1130;Cataguases
1131;Catalão
1132;Catanduva
1133;Catanduvas
1134;Catanduvas
1135;Catarina
1136;Catas Altas
1137;Catas Altas da Noruega
1138;Catende
1139;Catiguá
1140;Catingueira
1141;Catolândia
1142;Catolé do Rocha
1143;Catu
1144;Catuji
1145;Catunda
1146;Caturama
1147;Caturaí
1148;Caturité
1149;Catuti
1150;Catuípe
1151;Caucaia
1152;Cavalcante
1153;Caxambu
1154;Caxambu do Sul
1155;Caxias
1156;Caxias do Sul
1157;Caxingó
1158;Caçador
1159;Caçapava
1160;Caçapava do Sul
1161;Caçu
1162;Caém
1163;Ceará-mirim
1164;Cedral
1165;Cedral
1166;Cedro
1167;Cedro
1168;Cedro de São João
1169;Cedro do Abaeté
1170;Celso Ramos
1171;Centenário
1172;Centenário
1173;Centenário do Sul
1174;Central
1175;Central de Minas
1176;Central do Maranhão
1177;Centralina
1178;Centro Novo do Maranhão
1179;Centro do Guilherme
1180;Cerejeiras
1181;Ceres
1182;Cerqueira César
1183;Cerquilho
1184;Cerrito
1185;Cerro Azul
1186;Cerro Branco
1187;Cerro Corá
1188;Cerro Grande
1189;Cerro Grande do Sul
1190;Cerro Largo
1191;Cerro Negro
1192;Cesário Lange
1193;Cezarina
1194;Chalé
1195;Chapada
1196;Chapada Dos Guimarães
1197;Chapada Gaúcha
1198;Chapada da Natividade
1199;Chapada de Areia
1200;Chapada do Norte
1201;Chapadinha
1202;Chapadão do Céu
1203;Chapadão do Lageado
1204;Chapadão do Sul
1205;Chapecó
1206;Charqueada
1207;Charqueadas
1208;Charrua
1209;Chaval
1210;Chavantes
1211;Chaves
1212;Chiador
1213;Chiapetta
1214;Chopinzinho
1215;Chorozinho
1216;Chorrochó
1217;Choró
1218;Chupinguaia
1219;Chuvisca
1220;Chuí
1221;Chácara
1222;Chã Grande
1223;Chã Preta
1224;Chã de Alegria
1225;Cianorte
1226;Cidade Gaúcha
1227;Cidade Ocidental
1228;Cidelândia
1229;Cidreira
1230;Cipotânea
1231;Cipó
1232;Ciríaco
1233;Claraval
1234;Claro Dos Poções
1235;Clementina
1236;Clevelândia
1237;Cláudia
1238;Cláudio
1239;Coaraci
1240;Coari
1241;Cocal
1242;Cocal Dos Alves
1243;Cocal de Telha
1244;Cocal do Sul
1245;Cocalinho
1246;Cocalzinho de Goiás
1247;Cocos
1248;Codajás
1249;Codó
1250;Coelho Neto
1251;Coimbra
1252;Coité do Nóia
1253;Coivaras
1254;Colares
1255;Colatina
1256;Colina
1257;Colinas
1258;Colinas
1259;Colinas do Sul
1260;Colinas do Tocantins
1261;Colméia
1262;Colniza
1263;Colombo
1264;Colorado
1265;Colorado
1266;Colorado do Oeste
1267;Coluna
1268;Colíder
1269;Colômbia
1270;Colônia Leopoldina
1271;Colônia do Gurguéia
1272;Colônia do Piauí
1273;Combinado
1274;Comendador Gomes
1275;Comendador Levy Gasparian
1276;Comercinho
1277;Comodoro
1278;Conceição
1279;Conceição Das Alagoas
1280;Conceição Das Pedras
1281;Conceição Dos Ouros
1282;Conceição da Aparecida
1283;Conceição da Barra
1284;Conceição da Barra de Minas
1285;Conceição da Feira
1286;Conceição de Ipanema
1287;Conceição de Macabu
1288;Conceição do Almeida
1289;Conceição do Araguaia
1290;Conceição do Canindé
1291;Conceição do Castelo
1292;Conceição do Coité
1293;Conceição do Jacuípe
1294;Conceição do Lago-açu
1295;Conceição do Mato Dentro
1296;Conceição do Pará
1297;Conceição do Rio Verde
1298;Conceição do Tocantins
1299;Conchal
1300;Conchas
1301;Concórdia
1302;Concórdia do Pará
1303;Condado
1304;Condado
1305;Conde
1306;Conde
1307;Condeúba
1308;Condor
1309;Confins
1310;Confresa
1311;Congo
1312;Congonhal
1313;Congonhas
1314;Congonhas do Norte
1315;Congonhinhas
1316;Conquista
1317;Conquista D´oeste
1318;Conselheiro Lafaiete
1319;Conselheiro Mairinck
1320;Conselheiro Pena
1321;Consolação
