;codigo_ibg;freq;Ano
19451;3301876;1;2012
19452;3302106;1;2012
19453;3302205;3;2012
19454;3302403;16;2012
19455;3303302;15;2012
19456;3303401;2;2012
19457;3303500;12;2012
19458;3303807;1;2012
19459;3303856;1;2012
19460;3303906;25;2012
19461;3304003;1;2012
19462;3304110;1;2012
19463;3304201;9;2012
19464;3304300;1;2012
19465;3304409;2;2012
19466;3304557;125;2012
19467;3304805;1;2012
19468;3304904;1;2012
19469;3305505;2;2012
19470;3306008;2;2012
19471;3306107;10;2012
19472;3306305;29;2012
19473;3500303;1;2012
19474;3500501;2;2012
19475;3500709;1;2012
19476;3501905;28;2012
19477;3502101;3;2012
19478;3502705;1;2012
19479;3502804;8;2012
19480;3503208;33;2012
19481;3503307;12;2012
19482;3504008;9;2012
19483;3504107;3;2012
19484;3504305;1;2012
19485;3504503;2;2012
19486;3504602;1;2012
19487;3504800;1;2012
19488;3505500;5;2012
19489;3505807;1;2012
19490;3505906;8;2012
19491;3506003;73;2012
19492;3506359;2;2012
19493;3506508;3;2012
19494;3507001;7;2012
19495;3507407;2;2012
19496;3507506;17;2012
19497;3507605;1;2012
19498;3508504;1;2012
19499;3509205;1;2012
19500;3509502;14;2012
19501;3510401;7;2012
19502;3510500;1;2012
19503;3512308;1;2012
19504;3513504;1;2012
19505;3513801;45;2012
19506;3514403;2;2012
19507;3514908;1;2012
19508;3515004;28;2012
19509;3515103;1;2012
19510;3515509;7;2012
19511;3515657;1;2012
19512;3516200;22;2012
19513;3516408;10;2012
19514;3516606;1;2012
19515;3518305;2;2012
19516;3518404;5;2012
19517;3518701;110;2012
19518;3518800;16;2012
19519;3519303;2;2012
19520;3519600;3;2012
19521;3519709;3;2012
19522;3520442;4;2012
19523;3520905;6;2012
19524;3521309;1;2012
19525;3521804;1;2012
19526;3521903;32;2012
19527;3522109;4;2012
19528;3522406;2;2012
19529;3522604;1;2012
19530;3522703;2;2012
19531;3523107;1;2012
19532;3523404;9;2012
19533;3523602;6;2012
19534;3524303;1;2012
19535;3524402;30;2012
19536;3524808;5;2012
19537;3525904;2;2012
19538;3526803;4;2012
19539;3526902;12;2012
19540;3527108;1;2012
19541;3529005;21;2012
19542;3529203;3;2012
19543;3529401;16;2012
19544;3530102;1;2012
19545;3530300;40;2012
19546;3530607;1;2012
19547;3530706;9;2012
19548;3530805;6;2012
19549;3531100;2;2012
19550;3531407;3;2012
19551;3531803;2;2012
19552;3532207;1;2012
19553;3532405;1;2012
19554;3533007;2;2012
19555;3533502;8;2012
19556;3533908;3;2012
19557;3534401;1;2012
19558;3534708;8;2012
19559;3535507;5;2012
19560;3535804;1;2012
19561;3536208;1;2012
19562;3536505;2;2012
19563;3536703;9;2012
19564;3537305;8;2012
19565;3537602;2;2012
19566;3538600;2;2012
19567;3538709;5;2012
19568;3538907;3;2012
19569;3539301;2;2012
19570;3539806;22;2012
19571;3540309;1;2012
19572;3540606;8;2012
19573;3541000;9;2012
19574;3541406;10;2012
19575;3541505;5;2012
19576;3542404;8;2012
19577;3542602;8;2012
19578;3543402;2;2012
19579;3543907;6;2012
19580;3544004;1;2012
19581;3544202;1;2012
19582;3545605;2;2012
19583;3545803;1;2012
19584;3546405;1;2012
19585;3546702;1;2012
19586;3546801;1;2012
19587;3547809;220;2012
19588;3548500;9;2012
19589;3548906;24;2012
19590;3549102;6;2012
19591;3549409;3;2012
19592;3549805;11;2012
19593;3549904;37;2012
19594;3550308;3842;2012
19595;3550605;5;2012
19596;3550704;6;2012
19597;3550902;1;2012
19598;3551009;12;2012
19599;3551702;21;2012
19600;3552403;35;2012
19601;3552502;50;2012
19602;3552809;15;2012
19603;3553302;9;2012
19604;3554102;38;2012
19605;3555000;2;2012
19606;3556206;2;2012
19607;3556503;1;2012
19608;3556701;13;2012
19609;3557006;4;2012
19610;3557105;1;2012
19611;3557204;1;2012
19612;4100806;1;2012
19613;4101408;17;2012
19614;4101507;3;2012
19615;4101804;6;2012
19616;4102000;1;2012
19617;4103701;6;2012
19618;4104204;1;2012
19619;4104303;1;2012
19620;4104402;1;2012
19621;4104709;2;2012
19622;4104808;57;2012
19623;4104907;6;2012
19624;4105508;2;2012
19625;4106902;373;2012
19626;4107207;2;2012
19627;4107405;1;2012
19628;4107504;1;2012
19629;4108205;1;2012
19630;4108304;18;2012
19631;4109401;1;2012
19632;4109609;3;2012
19633;4109807;1;2012
19634;4110300;1;2012
19635;4112702;2;2012
19636;4113502;1;2012
19637;4113700;110;2012
19638;4113759;1;2012
19639;4114203;2;2012
19640;4114609;2;2012
19641;4115200;14;2012
19642;4115408;7;2012
19643;4117008;1;2012
19644;4117602;1;2012
19645;4117909;1;2012
19646;4118105;4;2012
19647;4118204;9;2012
19648;4118808;1;2012
19649;4119152;12;2012
19650;4119509;1;2012
19651;4119608;5;2012
19652;4119905;7;2012
19653;4120002;3;2012
19654;4120309;1;2012
19655;4120606;3;2012
19656;4121208;1;2012
19657;4125506;18;2012
19658;4125605;2;2012
19659;4126108;1;2012
19660;4127106;1;2012
19661;4127700;5;2012
19662;4128104;9;2012
19663;4128401;1;2012
19664;4200507;1;2012
19665;4200804;5;2012
19666;4201406;5;2012
19667;4201950;6;2012
19668;4202404;5;2012
19669;4202453;2;2012
19670;4202800;2;2012
19671;4203006;4;2012
19672;4204202;1;2012
19673;4204509;2;2012
19674;4204608;2;2012
19675;4205506;1;2012
19676;4205704;8;2012
19677;4205803;1;2012
19678;4206504;2;2012
19679;4206603;2;2012
19680;4206702;1;2012
19681;4206801;2;2012
19682;4207007;3;2012
19683;4207502;5;2012
19684;4207759;2;2012
19685;4208203;34;2012
19686;4208302;1;2012
19687;4208906;1;2012
19688;4209102;56;2012
19689;4209300;33;2012
19690;4210100;1;2012
19691;4211207;3;2012
19692;4211652;3;2012
19693;4212502;1;2012
19694;4213203;4;2012
19695;4213500;1;2012
19696;4213609;1;2012
19697;4214805;1;2012
19698;4215000;1;2012
19699;4215653;1;2012
19700;4215802;4;2012
19701;4216206;11;2012
19702;4216602;30;2012
19703;4217204;2;2012
19704;4217808;1;2012
19705;4218004;36;2012
19706;4218707;10;2012
19707;4300604;11;2012
19708;4301602;4;2012
19709;4302808;1;2012
19710;4303004;14;2012
19711;4303103;13;2012
19712;4303558;1;2012
19713;4303905;1;2012
19714;4304101;1;2012
19715;4304200;1;2012
19716;4304606;16;2012
19717;4304630;2;2012
19718;4304705;3;2012
19719;4305108;59;2012
19720;4305504;1;2012
19721;4306205;1;2012
19722;4306601;2;2012
19723;4306809;1;2012
19724;4307005;6;2012
19725;4307708;19;2012
19726;4308102;1;2012
19727;4309308;2;2012
19728;4310207;3;2012
19729;4311007;4;2012
19730;4311403;4;2012
19731;4312476;1;2012
19732;4313409;37;2012
19733;4313508;4;2012
19734;4313953;1;2012
19735;4314100;25;2012
19736;4314407;12;2012
19737;4314902;775;2012
19738;4315701;1;2012
19739;4316709;1;2012
19740;4316808;28;2012
19741;4316907;22;2012
19742;4317103;2;2012
19743;4317509;8;2012
19744;4317608;3;2012
19745;4318200;1;2012
19746;4318408;1;2012
19747;4318465;1;2012
19748;4318481;1;2012
19749;4318606;1;2012
19750;4318705;43;2012
19751;4319000;1;2012
19752;4320008;9;2012
19753;4320909;1;2012
19754;4321006;2;2012
19755;4321204;2;2012
19756;4322533;1;2012
19757;4323002;11;2012
19758;5001508;1;2012
19759;5002704;10;2012
19760;5002951;1;2012
19761;5003207;33;2012
19762;5003256;1;2012
19763;5004700;1;2012
19764;5005806;5;2012
19765;5006606;2;2012
19766;5100250;1;2012
19767;5101803;16;2012
19768;5103403;4;2012
19769;5104807;1;2012
19770;5105101;2;2012
19771;5105150;19;2012
19772;5107925;1;2012
19773;5108402;1;2012
19774;5108600;2;2012
19775;5200134;1;2012
19776;5201108;1;2012
19777;5201306;1;2012
19778;5201405;4;2012
19779;5204508;2;2012
19780;5206206;1;2012
19781;5208608;3;2012
19782;5208707;46;2012
19783;5209705;1;2012
19784;5210562;2;2012
19785;5211404;1;2012
19786;5211503;1;2012
19787;5211909;2;2012
19788;5212105;1;2012
19789;5214408;6;2012
19790;5218805;1;2012
19791;5221452;1;2012
19792;5300108;88;2012
18270;1100015;1;2013
18271;1100023;1;2013
18272;1100189;1;2013
18273;1100205;3;2013
18274;1100346;1;2013
18275;1200401;37;2013
18276;1302504;1;2013
18277;1302603;58;2013
18278;1303536;5;2013
18279;1303809;1;2013
18280;1304401;1;2013
18281;1400100;7;2013
18282;1400209;8;2013
18283;1500107;3;2013
18284;1500800;1;2013
18285;1501006;2;2013
18286;1501303;2;2013
18287;1501402;33;2013
18288;1502400;4;2013
18289;1502772;2;2013
18290;1502939;4;2013
18291;1503044;1;2013
18292;1503093;1;2013
18293;1503804;1;2013
18294;1504422;1;2013
18295;1505536;57;2013
18296;1506500;2;2013
18297;1506807;3;2013
18298;1600600;6;2013
18299;1700350;3;2013
18300;1700400;3;2013
18301;1703107;1;2013
18302;1703701;1;2013
18303;1709500;1;2013
18304;1718865;1;2013
18305;1720200;1;2013
18306;1721000;3;2013
18307;2105104;4;2013
18308;2105906;1;2013
18309;2106904;4;2013
18310;2107704;2;2013
18311;2109759;1;2013
18312;2111300;43;2013
18313;2112456;3;2013
18314;2200251;3;2013
18315;2202307;5;2013
18316;2202604;1;2013
18317;2203305;3;2013
18318;2203404;3;2013
18319;2203701;7;2013
18320;2203909;1;2013
18321;2204204;10;2013
18322;2204352;1;2013
18323;2205003;3;2013
18324;2205102;1;2013
18325;2205581;1;2013
18326;2206050;1;2013
18327;2206605;3;2013
18328;2207009;4;2013
18329;2207504;1;2013
18330;2208007;5;2013
18331;2208403;1;2013
18332;2209351;1;2013
18333;2210003;1;2013
18334;2210201;1;2013
18335;2210607;1;2013
18336;2211001;35;2013
18337;2300150;4;2013
18338;2301703;5;2013
18339;2302057;1;2013
18340;2302107;1;2013
18341;2302800;8;2013
18342;2303402;2;2013
18343;2303709;9;2013
18344;2304103;2;2013
18345;2304277;2;2013
18346;2304400;713;2013
18347;2304657;1;2013
18348;2304707;2;2013
18349;2305506;3;2013
18350;2307304;11;2013
18351;2307650;28;2013
18352;2308005;1;2013
18353;2308401;1;2013
18354;2309706;1;2013
18355;2310100;1;2013
18356;2310407;1;2013
18357;2311207;1;2013
18358;2311264;4;2013
18359;2312007;1;2013
18360;2312304;1;2013
18361;2312908;36;2013
18362;2313203;1;2013
18363;2313401;5;2013
18364;2400109;2;2013
18365;2400505;1;2013
18366;2400901;2;2013
18367;2401107;6;2013
18368;2401404;1;2013
18369;2401701;1;2013
18370;2402204;5;2013
18371;2402600;1;2013
18372;2403004;2;2013
18373;2403103;1;2013
18374;2403251;40;2013
18375;2403707;2;2013
18376;2405603;2;2013
18377;2406601;1;2013
18378;2406809;1;2013
18379;2407807;2;2013
18380;2408003;3;2013
18381;2408102;151;2013
18382;2408300;1;2013
18383;2409803;2;2013
18384;2410801;1;2013
18385;2412401;1;2013
18386;2501807;3;2013
18387;2502805;1;2013
18388;2503308;1;2013
18389;2503902;1;2013
18390;2504009;2;2013
18391;2504603;10;2013
18392;2505105;1;2013
18393;2506301;2;2013
18394;2506905;1;2013
18395;2507309;1;2013
18396;2507507;30;2013
18397;2508307;1;2013
18398;2510006;1;2013
18399;2510808;2;2013
18400;2511202;4;2013
18401;2511400;1;2013
18402;2512705;3;2013
18403;2512903;1;2013
18404;2513307;25;2013
18405;2515302;2;2013
18406;2516003;1;2013
18407;2517209;1;2013
18408;2601409;1;2013
18409;2602803;1;2013
18410;2603454;5;2013
18411;2604106;21;2013
18412;2604601;1;2013
18413;2605202;1;2013
18414;2605608;11;2013
18415;2606804;2;2013
18416;2607901;5;2013
18417;2608206;2;2013
18418;2608800;1;2013
18419;2608909;1;2013
18420;2609105;1;2013
18421;2609154;3;2013
18422;2609402;1;2013
18423;2609600;51;2013
18424;2610004;1;2013
18425;2610202;2;2013
18426;2610707;1;2013
18427;2611606;54;2013
18428;2611705;1;2013
18429;2612208;3;2013
18430;2612505;4;2013
18431;2613008;2;2013
18432;2613909;3;2013
18433;2614105;3;2013
18434;2615805;2;2013
18435;2616100;2;2013
18436;2700102;6;2013
18437;2700300;3;2013
18438;2701001;1;2013
18439;2701407;3;2013
18440;2701704;2;2013
18441;2702900;6;2013
18442;2704302;366;2013
18443;2706307;2;2013
18444;2706406;1;2013
18445;2706505;1;2013
18446;2707305;3;2013
18447;2707602;1;2013
18448;2708006;1;2013
18449;2709152;2;2013
18450;2800308;129;2013
18451;2800506;1;2013
18452;2800605;7;2013
18453;2801009;1;2013
18454;2801306;1;2013
18455;2802403;4;2013
18456;2802908;2;2013
18457;2803500;1;2013
18458;2804201;1;2013
18459;2805703;2;2013
18460;2900603;1;2013
18461;2900702;4;2013
18462;2902104;1;2013
18463;2902500;17;2013
18464;2903201;2;2013
18465;2903409;2;2013
18466;2904852;1;2013
18467;2904902;1;2013
18468;2905206;1;2013
18469;2906899;1;2013
18470;2907004;1;2013
18471;2907301;1;2013
18472;2910800;5;2013
18473;2910859;2;2013
18474;2911253;1;2013
18475;2913200;2;2013
18476;2913408;1;2013
18477;2913507;1;2013
18478;2913606;2;2013
18479;2914604;4;2013
18480;2914703;2;2013
18481;2916104;1;2013
18482;2916401;2;2013
18483;2917359;2;2013
18484;2917508;2;2013
18485;2917607;1;2013
18486;2917904;3;2013
18487;2918001;9;2013
18488;2918209;1;2013
18489;2918407;5;2013
18490;2918902;3;2013
18491;2919207;2;2013
18492;2919306;1;2013
18493;2920106;5;2013
18494;2920205;3;2013
18495;2921708;3;2013
18496;2922250;2;2013
18497;2922508;1;2013
18498;2923407;1;2013
18499;2924678;1;2013
18500;2925303;3;2013
18501;2926657;14;2013
18502;2927408;274;2013
18503;2928109;1;2013
18504;2928703;1;2013
18505;2929057;1;2013
18506;2929602;3;2013
18507;2930204;4;2013
18508;2930709;2;2013
18509;2931103;3;2013
18510;2931350;1;2013
18511;2931608;2;2013
18512;2932903;8;2013
18513;2933307;50;2013
18514;2933505;1;2013
18515;3100609;2;2013
18516;3101607;6;2013
18517;3101706;1;2013
18518;3102605;4;2013
18519;3103009;1;2013
18520;3104007;7;2013
18521;3104205;1;2013
18522;3105301;1;2013
18523;3105608;3;2013
18524;3105905;1;2013
18525;3106200;3034;2013
18526;3106705;17;2013
18527;3107406;1;2013
18528;3108602;1;2013
18529;3108909;1;2013
18530;3109105;3;2013
18531;3109501;3;2013
18532;3109709;1;2013
18533;3110608;1;2013
18534;3111200;1;2013
18535;3111309;1;2013
18536;3112307;1;2013
18537;3112802;1;2013
18538;3113206;2;2013
18539;3113404;16;2013
18540;3115300;6;2013
18541;3115508;2;2013
18542;3116001;1;2013
18543;3116506;9;2013
18544;3116803;1;2013
18545;3117504;1;2013
18546;3117876;1;2013
18547;3118007;1;2013
18548;3118304;9;2013
18549;3118403;4;2013
18550;3118601;54;2013
18551;3118908;6;2013
18552;3119401;5;2013
18553;3120300;1;2013
18554;3120607;1;2013
18555;3121209;1;2013
18556;3122306;6;2013
18557;3122454;1;2013
18558;3123007;1;2013
18559;3123403;1;2013
18560;3123601;5;2013
18561;3124104;1;2013
18562;3124203;2;2013
18563;3125101;2;2013
18564;3126109;1;2013
18565;3126802;1;2013
18566;3127339;1;2013
18567;3127503;1;2013
18568;3127701;44;2013
18569;3128105;1;2013
18570;3128303;9;2013
18571;3130309;11;2013
18572;3131307;20;2013
18573;3131703;1;2013
18574;3131802;1;2013
18575;3132404;1;2013
18576;3134004;1;2013
18577;3134202;1;2013
18578;3135100;7;2013
18579;3135803;5;2013
18580;3136207;1;2013
18581;3136306;1;2013
18582;3136702;101;2013
18583;3137601;1;2013
18584;3137809;1;2013
18585;3138203;18;2013
18586;3138401;19;2013
18587;3139003;1;2013
18588;3139201;3;2013
18589;3139409;1;2013
18590;3139508;1;2013
18591;3140001;3;2013
18592;3140530;6;2013
18593;3140704;2;2013
18594;3140803;1;2013
18595;3141405;3;2013
18596;3142809;1;2013
18597;3143104;1;2013
18598;3143302;26;2013
18599;3143807;2;2013
18600;3143906;2;2013
18601;3144508;3;2013
18602;3144706;1;2013
18603;3144805;7;2013
18604;3145208;3;2013
18605;3145604;4;2013
18606;3145901;1;2013
18607;3146107;1;2013
18608;3146305;2;2013
18609;3147006;3;2013
18610;3147402;1;2013
18611;3147709;2;2013
18612;3148103;2;2013
18613;3148806;2;2013
18614;3149309;7;2013
18615;3149903;3;2013
18616;3151008;1;2013
18617;3151206;3;2013
18618;3151800;88;2013
18619;3152105;1;2013
18620;3152501;15;2013
18621;3152709;3;2013
18622;3154002;4;2013
18623;3154903;2;2013
18624;3156700;2;2013
18625;3157005;2;2013
18626;3157104;1;2013
18627;3157807;2;2013
18628;3158409;1;2013
18629;3158805;9;2013
18630;3159605;9;2013
18631;3161700;1;2013
18632;3161908;1;2013
18633;3162104;2;2013
18634;3162302;1;2013
18635;3162559;1;2013
18636;3163706;7;2013
18637;3164704;3;2013
18638;3165578;1;2013
18639;3167202;64;2013
18640;3167905;1;2013
18641;3168002;1;2013
18642;3168101;1;2013
18643;3168606;2;2013
18644;3168705;4;2013
18645;3169307;3;2013
18646;3169356;2;2013
18647;3169901;3;2013
18648;3170404;1;2013
18649;3170701;3;2013
18650;3170800;1;2013
18651;3170909;1;2013
18652;3171204;1;2013
18653;3171303;35;2013
18654;3171600;2;2013
18655;3172004;1;2013
18656;3200169;2;2013
18657;3200607;5;2013
18658;3200805;3;2013
18659;3201209;2;2013
18660;3201308;16;2013
18661;3201506;47;2013
18662;3202306;2;2013
18663;3202801;2;2013
18664;3203205;4;2013
18665;3203346;2;2013
18666;3204807;1;2013
18667;3204906;1;2013
18668;3204955;3;2013
18669;3205002;1;2013
18670;3205036;1;2013
18671;3205101;1;2013
18672;3205176;5;2013
18673;3205200;69;2013
18674;3205309;160;2013
18675;3300100;2;2013
18676;3300209;1;2013
18677;3300233;1;2013
18678;3300308;1;2013
18679;3300456;1;2013
18680;3300605;1;2013
18681;3300704;2;2013
18682;3301009;47;2013
18683;3301702;27;2013
18684;3301900;2;2013
18685;3302106;1;2013
18686;3302205;3;2013
18687;3302254;1;2013
18688;3302304;1;2013
18689;3302403;56;2013
18690;3302502;4;2013
18691;3302700;3;2013
18692;3302858;8;2013
18693;3303302;31;2013
18694;3303401;7;2013
18695;3303500;25;2013
18696;3303807;5;2013
18697;3303856;1;2013
18698;3303906;40;2013
18699;3304003;1;2013
18700;3304201;36;2013
18701;3304300;3;2013
18702;3304409;4;2013
18703;3304557;265;2013
18704;3304706;1;2013
18705;3304805;1;2013
18706;3304904;2;2013
18707;3305109;17;2013
18708;3305208;2;2013
18709;3305505;3;2013
18710;3306008;3;2013
18711;3306107;13;2013
18712;3306305;50;2013
18713;3500303;1;2013
18714;3500501;4;2013
18715;3500709;3;2013
18716;3500758;1;2013
18717;3501608;7;2013
18718;3501905;53;2013
18719;3502101;3;2013
18720;3502705;1;2013
18721;3502804;33;2013
18722;3502903;1;2013
18723;3503109;7;2013
18724;3503158;1;2013
18725;3503208;38;2013
18726;3503307;14;2013
18727;3503802;4;2013
18728;3503901;1;2013
18729;3504008;19;2013
18730;3504107;15;2013
18731;3504305;1;2013
18732;3504503;5;2013
18733;3504602;2;2013
18734;3504800;2;2013
18735;3505203;1;2013
18736;3505500;9;2013
